id	name	node_type
GO:0046449	creatinine metabolic process	Phenotype
GO:0072574	hepatocyte proliferation	Phenotype
GO:2000424	positive regulation of eosinophil chemotaxis	Phenotype
GO:0140131	positive regulation of lymphocyte chemotaxis	Phenotype
GO:0042701	progesterone secretion	Phenotype
GO:0031585	regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity	Phenotype
GO:0006094	gluconeogenesis	Phenotype
GO:0045793	positive regulation of cell size	Phenotype
GO:2000347	positive regulation of hepatocyte proliferation	Phenotype
GO:1900182	positive regulation of protein localization to nucleus	Phenotype
GO:1902275	regulation of chromatin organization	Phenotype
GO:0010468	regulation of gene expression	Phenotype
GO:0035358	regulation of peroxisome proliferator activated receptor signaling pathway	Phenotype
GO:0045815	transcription initiation-coupled chromatin remodeling	Phenotype
GO:0061024	membrane organization	Phenotype
GO:1904808	positive regulation of protein oxidation	Phenotype
GO:1904782	negative regulation of NMDA glutamate receptor activity	Phenotype
GO:0016567	protein ubiquitination	Phenotype
GO:1904078	positive regulation of estrogen biosynthetic process	Phenotype
GO:0040018	positive regulation of multicellular organism growth	Phenotype
GO:0045444	fat cell differentiation	Phenotype
GO:0061368	behavioral response to formalin induced pain	Phenotype
GO:0004556	alpha-amylase activity	Phenotype
GO:0071479	cellular response to ionizing radiation	Phenotype
GO:0006302	double-strand break repair	Phenotype
GO:1901216	positive regulation of neuron death	Phenotype
GO:0031052	programmed DNA elimination by chromosome breakage	Phenotype
GO:0008340	determination of adult lifespan	Phenotype
GO:0007610	behavior	Phenotype
GO:0006305	DNA alkylation	Phenotype
GO:0045006	DNA deamination	Phenotype
GO:2001020	regulation of response to DNA damage stimulus	Phenotype
GO:0098976	excitatory chemical synaptic transmission	Phenotype
GO:1903296	positive regulation of glutamate secretion, neurotransmission	Phenotype
GO:0080182	histone H3-K4 trimethylation	Phenotype
GO:0042100	B cell proliferation	Phenotype
GO:0050671	positive regulation of lymphocyte proliferation	Phenotype
GO:0070528	protein kinase C signaling	Phenotype
GO:0042110	T cell activation	Phenotype
GO:2000391	positive regulation of neutrophil extravasation	Phenotype
GO:0033559	unsaturated fatty acid metabolic process	Phenotype
GO:0090728	negative regulation of brood size	Phenotype
GO:0040012	regulation of locomotion	Phenotype
GO:0003016	respiratory system process	Phenotype
GO:0007596	blood coagulation	Phenotype
GO:0030284	nuclear estrogen receptor activity	Phenotype
GO:0042428	serotonin metabolic process	Phenotype
GO:0000819	sister chromatid segregation	Phenotype
GO:0060134	prepulse inhibition	Phenotype
GO:0007605	sensory perception of sound	Phenotype
GO:0050975	sensory perception of touch	Phenotype
GO:0001821	histamine secretion	Phenotype
GO:0043299	leukocyte degranulation	Phenotype
GO:0140121	Lewy body formation	Phenotype
GO:1901381	positive regulation of potassium ion transmembrane transport	Phenotype
GO:1902307	positive regulation of sodium ion transmembrane transport	Phenotype
GO:0035812	renal sodium excretion	Phenotype
GO:0001909	leukocyte mediated cytotoxicity	Phenotype
GO:0046649	lymphocyte activation	Phenotype
GO:0032308	positive regulation of prostaglandin secretion	Phenotype
GO:0006693	prostaglandin metabolic process	Phenotype
GO:0002534	cytokine production involved in inflammatory response	Phenotype
GO:0002540	leukotriene production involved in inflammatory response	Phenotype
GO:0008053	mitochondrial fusion	Phenotype
GO:0030534	adult behavior	Phenotype
GO:0097237	cellular response to toxic substance	Phenotype
GO:0035640	exploration behavior	Phenotype
GO:0031653	heat dissipation	Phenotype
GO:0050879	multicellular organismal movement	Phenotype
GO:1903295	negative regulation of glutamate secretion, neurotransmission	Phenotype
GO:1900272	negative regulation of long-term synaptic potentiation	Phenotype
GO:0051781	positive regulation of cell division	Phenotype
GO:0032103	positive regulation of response to external stimulus	Phenotype
