id	name	node_type
22059	TRP53	Gene
221302	ZUP1	Gene
222	ALDH3B2	Gene
2222	FDFT1	Gene
222223	ELAPOR2	Gene
2224	FDPS	Gene
222487	ADGRG3	Gene
2247	FGF2	Gene
2254	FGF9	Gene
2263	FGFR2	Gene
22651	ZFP125	Gene
22794	CASC3	Gene
2280	FKBP1A	Gene
22844	FRMPD1	Gene
22845	DOLK	Gene
2289	FKBP5	Gene
22977	AKR7A3	Gene
22992	KDM2A	Gene
23033	DOP1A	Gene
23062	GGA2	Gene
23095	KIF1B	Gene
23102	TBC1D2B	Gene
23111	SPART	Gene
2316	FLNA	Gene
23165	NUP205	Gene
23174	ZCCHC14	Gene
23198	PSME4	Gene
23205	ACSBG1	Gene
23258	DENND5A	Gene
23351	KHNYN	Gene
23394	ADNP	Gene
23401	FRAT2	Gene
23438	HARS2	Gene
23484	LEPROTL1	Gene
23533	PIK3R5	Gene
2354	FOSB	Gene
2355	FOSL2	Gene
2357	FPR1	Gene
23597	ACOT9	Gene
23601	CLEC5A	Gene
23612	PHLDA3	Gene
23643	LY96	Gene
23645	PPP1R15A	Gene
23657	SLC7A11	Gene
23710	GABARAPL1	Gene
23764	MAFF	Gene
23765	IL17RA	Gene
239	ALOX12	Gene
240	ALOX5	Gene
241	ALOX5AP	Gene
246	ALOX15	Gene
24748	RT1-N1	Gene
252983	STXBP4	Gene
253430	IPMK	Gene
2537	IFI6	Gene
2538	G6PC1	Gene
2547	XRCC6	Gene
255189	PLA2G4F	Gene
25778	DSTYK	Gene
25873	RPL36	Gene
25940	FAM98A	Gene
25963	TMEM87A	Gene
25980	AAR2	Gene
26051	PPP1R16B	Gene
26053	AUTS2	Gene
26061	HACL1	Gene
26073	POLDIP2	Gene
26088	GGA1	Gene
26190	FBXW2	Gene
26191	PTPN22	Gene
26205	GMEB2	Gene
2627	GATA6	Gene
26277	TINF2	Gene
2645	GCK	Gene
26502	NARF	Gene
26503	SLC17A5	Gene
26523	AGO1	Gene
26525	IL36RN	Gene
2672	GFI1	Gene
2688	GH1	Gene
2697	GJA1	Gene
27065	NSG1	Gene
271	AMPD2	Gene
2710	GK	Gene
27106	ARRDC2	Gene
27115	PDE7B	Gene
27163	NAAA	Gene
27177	IL36B	Gene
27179	IL36A	Gene
27287	VENTX	Gene
2730	GCLM	Gene
27348	TOR1B	Gene
27436	EML4	Gene
2752	GLUL	Gene
2778	GNAS	Gene
2781	GNAZ	Gene
2791	GNG11	Gene
2798	GNRHR	Gene
2810	SFN	Gene
2811	GP1BA	Gene
2812	GP1BB	Gene
2815	GP9	Gene
28250	SLCO1A4	Gene
282973	JAKMIP3	Gene
283208	P4HA3	Gene
283431	GAS2L3	Gene
283989	TSEN54	Gene
284013	VMO1	Gene
284119	CAVIN1	Gene
284370	ZNF615	Gene
284996	RNF149	Gene
28514	DLL1	Gene
285141	ERICH2	Gene
286530	P2RY8	Gene
2875	GPT	Gene
2879	GPX4	Gene
28985	MCTS1	Gene
290	ANPEP	Gene
29062	WDR91	Gene
2908	NR3C1	Gene
2919	CXCL1	Gene
293	SLC25A6	Gene
2932	GSK3B	Gene
2940	GSTA3	Gene
2948	GSTM4	Gene
2950	GSTP1	Gene
2976	GTF3C2	Gene
29933	GPR132	Gene
29950	SERTAD1	Gene
29974	A1CF	Gene
3014	H2AX	Gene
3036	HAS1	Gene
3043	HBB	Gene
306	ANXA3	Gene
3081	HGD	Gene
3094	HINT1	Gene
3097	HIVEP2	Gene
31	ACACA	Gene
3109	HLA-DMB	Gene
3115	HLA-DPB1	Gene
3117	HLA-DQA1	Gene
3122	HLA-DRA	Gene
3146	HMGB1	Gene
3148	HMGB2	Gene
3156	HMGCR	Gene
3162	HMOX1	Gene
3169	FOXA1	Gene
317	APAF1	Gene
3172	HNF4A	Gene
3175	ONECUT1	Gene
3240	HP	Gene
3265	HRAS	Gene
328	APEX1	Gene
3297	HSF1	Gene
330	BIRC3	Gene
3300	DNAJB2	Gene
3303	HSPA1A	Gene
3304	HSPA1B	Gene
3309	HSPA5	Gene
3312	HSPA8	Gene
3337	DNAJB1	Gene
3361	HTR5A	Gene
337	APOA4	Gene
3371	TNC	Gene
338	APOB	Gene
338322	NLRP10	Gene
338811	TAFA2	Gene
3400	ID4	Gene
340348	TSPAN33	Gene
3417	IDH1	Gene
3422	IDI1	Gene
342945	ZSCAN22	Gene
3433	IFIT2	Gene
3434	IFIT1	Gene
3437	IFIT3	Gene
3458	IFNG	Gene
3459	IFNGR1	Gene
3460	IFNGR2	Gene
3475	IFRD1	Gene
348094	ANKDD1A	Gene
3512	JCHAIN	Gene
3516	RBPJ	Gene
3543	IGLL1	Gene
3551	IKBKB	Gene
3552	IL1A	Gene
3554	IL1R1	Gene
3556	IL1RAP	Gene
3557	IL1RN	Gene
3558	IL2	Gene
3560	IL2RB	Gene
3563	IL3RA	Gene
3566	IL4R	Gene
3570	IL6R	Gene
3586	IL10	Gene
35864	GCL	Gene
3587	IL10RA	Gene
3588	IL10RB	Gene
3589	IL11	Gene
3590	IL11RA	Gene
3593	IL12B	Gene
3603	IL16	Gene
3605	IL17A	Gene
361523	CYP2B2	Gene
3628	INPP1	Gene
3638	INSIG1	Gene
3651	PDX1	Gene
3659	IRF1	Gene
3665	IRF7	Gene
367	AR	Gene
3674	ITGA2B	Gene
3678	ITGA5	Gene
3689	ITGB2	Gene
3693	ITGB5	Gene
3759	KCNJ2	Gene
3833	KIFC1	Gene
3836	KPNA1	Gene
384724	CYP2T4	Gene
387	RHOA	Gene
387190	MIR195A	Gene
387199	MIR203	Gene
388	RHOB	Gene
3956	LGALS1	Gene
3957	LGALS2	Gene
3964	LGALS8	Gene
3983	ABLIM1	Gene
3984	LIMK1	Gene
